island,total_settlements,excluded_no_data,valid_settlements,pct_at_risk_0.5m,pct_at_risk_1.0m,pct_at_risk_1.5m
maldives,996,177,819,12.82051282051282,14.529914529914532,16.605616605616603
lakshadweep,36,8,28,7.142857142857142,7.142857142857142,7.142857142857142
