index,lon,lat,elevation_m,at_risk
0,-16.6201167,28.0698913,260.0,False
1,-16.7640345,28.2705007,1432.0,False
2,-17.1402821,28.2476416,0.0,True
3,-14.5833346,28.5753243,0.0,True
4,-15.7465977,28.5269018,0.0,True
5,-16.251891,28.4555894,0.0,True
6,-17.8657358,28.6551254,789.0,False
7,-18.0747607,27.7054592,425.0,False
8,-18.1230063,27.7325533,675.0,False
9,-16.2759591,28.4605244,158.0,False
10,-16.5226549,28.3017351,2300.0,False
11,-18.021995,27.7437941,526.0,False
12,-14.1602486,28.4047511,0.0,True
13,-17.2236555,28.1192301,1024.0,False
14,-13.5811153,28.9551407,11.0,False
15,-16.4471166,28.2708747,901.0,False
16,-13.5719942,28.9574495,23.0,False
17,-13.5606538,28.9598577,15.0,False
18,-13.5645333,28.9631733,25.0,False
19,-16.5508973,28.036752,9.0,False
20,-13.549335,28.9603771,0.0,True
21,-13.5444163,28.9654999,15.0,False
22,-13.5687139,28.9729297,44.0,False
23,-13.5685842,28.977209,52.0,False
24,-13.5537616,28.9781422,50.0,False
25,-13.5528805,28.9749936,41.0,False
26,-13.5486655,28.9740662,39.0,False
27,-13.5451258,28.9697487,25.0,False
28,-13.5564621,28.9703437,32.0,False
29,-13.5395111,28.975508,35.0,False
30,-13.5346761,28.9684195,0.0,True
31,-13.5206869,28.9778972,8.0,False
32,-16.8404581,28.2439906,31.0,False
33,-15.7464439,28.5269018,0.0,True
34,-15.4547206,28.1119179,167.0,False
35,-15.4540943,28.1123125,170.0,False
36,-15.4549869,28.1113597,168.0,False
37,-13.5569275,28.9654617,26.0,False
38,-16.3130492,28.4927979,556.0,False
39,-15.4446235,28.1292909,19.0,False
40,-16.3190391,28.4909696,561.0,False
41,-16.2471887,28.4670657,8.0,False
42,-16.3712823,28.3520585,33.0,False
43,-15.4284846,28.1398363,7.0,False
44,-16.2503419,28.4683274,33.0,False
45,-16.2517607,28.4704116,49.0,False
46,-16.5859256,28.3882669,260.0,False
47,-15.4506501,28.1297825,10.0,False
48,-15.4500062,28.129776,9.0,False
49,-16.4463585,28.4530372,518.0,False
50,-16.5386189,28.0481335,24.0,False
51,-15.6554446,28.1450015,128.0,False
52,-15.5841867,28.1110093,485.0,False
53,-13.5596212,29.0603359,0.0,True
54,-16.2490155,28.4680993,25.0,False
55,-14.0369029,28.35104,246.0,False
56,-16.5232845,28.390615,357.0,False
57,-13.8650578,28.4912781,9.0,False
58,-13.8683186,28.7390014,14.0,False
59,-13.8673537,28.7424469,7.0,False
60,-13.8624097,28.4994078,36.0,False
61,-13.8608695,28.4990653,25.0,False
62,-16.2556854,28.4677122,51.0,False
63,-16.2525196,28.472053,48.0,False
64,-16.2592232,28.461854,55.0,False
65,-13.5603033,29.0612814,0.0,True
66,-13.8440848,28.8592151,0.0,True
67,-13.4836082,29.0006708,0.0,True
68,-16.2634382,28.4595523,82.0,False
69,-16.2717526,28.4612418,133.0,False
70,-16.2711531,28.4617003,126.0,False
71,-16.2633753,28.4639406,95.0,False
72,-16.2596753,28.4659498,64.0,False
73,-16.3155415,28.4444378,426.0,False
74,-16.3149162,28.4830019,543.0,False
75,-14.2300785,28.1607676,37.0,False
76,-16.5354576,28.044158,5.0,False
77,-16.5890285,28.0298134,19.0,False
78,-16.5578784,28.0795737,224.0,False
79,-16.5771419,28.127048,669.0,False
80,-16.6371498,28.1599472,1428.0,False
81,-16.8158125,28.2974515,930.0,False
82,-17.1968749,28.0289347,0.0,True
83,-16.2507843,28.467178,33.0,False
84,-17.7663354,28.6818901,27.0,False
85,-17.9151945,28.6592222,346.0,False
86,-17.8614134,28.5029857,430.0,False
87,-17.2571928,28.1266182,1248.0,False
88,-14.0101076,28.6827004,0.0,True
89,-14.3888189,28.1023118,69.0,False
90,-14.3522311,28.0501834,0.0,True
91,-14.0573104,28.4249637,403.0,False
92,-16.5235692,28.3898829,362.0,False
93,-16.5532956,28.4159024,12.0,False
94,-13.8599051,28.4993424,22.0,False
95,-16.6413132,28.3964585,25.0,False
96,-16.6515762,28.3738326,490.0,False
97,-16.1924944,28.5054993,0.0,True
98,-15.4349015,28.1288694,40.0,False
99,-16.5381701,28.0462102,17.0,False
100,-16.717,28.0526298,18.0,False
101,-16.7310532,28.0601971,0.0,True
102,-16.5564131,28.073393,193.0,False
103,-16.6365089,28.1590955,1415.0,False
104,-16.6688723,28.2594869,3089.0,False
105,-14.1556275,28.3995784,0.0,True
106,-14.2144218,28.2121335,47.0,False
107,-13.8693225,28.7400646,12.0,False
108,-14.3002366,28.0782253,54.0,False
109,-14.2634782,28.113384,14.0,False
110,-13.9340479,28.6802009,71.0,False
111,-13.9281312,28.6110279,227.0,False
112,-14.1080857,28.3497867,213.0,False
113,-14.0460201,28.3256078,194.0,False
114,-14.0130914,28.4204111,249.0,False
115,-17.9499084,28.6525783,0.0,True
116,-15.433936,28.1421221,17.0,False
117,-15.4365399,28.1392613,17.0,False
118,-15.4367522,28.1385288,21.0,False
119,-15.4263125,28.1484086,12.0,False
120,-15.5247783,28.1190596,261.0,False
121,-16.3699042,28.3517563,8.0,False
122,-16.2910472,28.5617453,576.0,False
123,-16.5531455,28.4096788,56.0,False
124,-16.8529616,28.3710389,110.0,False
125,-13.4295608,29.153888,0.0,True
126,-16.467857,28.3429747,1576.0,False
127,-16.6297704,28.3861797,430.0,False
128,-17.9561747,27.7715654,1051.0,False
129,-15.5469365,28.0596429,598.0,False
130,-16.2170142,28.5609125,161.0,False
131,-14.151955,28.1834046,11.0,False
132,-14.1184343,28.1932628,0.0,True
133,-14.0733101,28.202396,0.0,True
134,-14.0216858,28.212814,0.0,True
