island,total,at_risk,pct_at_risk,excluded_coverage_gap,pct_at_risk_0.5m,pct_at_risk_1.0m,pct_at_risk_1.5m
maldives,819,119,14.529914529914532,177,12.82051282051282,14.529914529914532,16.605616605616603
seychelles,244,191,78.27868852459017,0,78.27868852459017,78.27868852459017,78.27868852459017
fiji,909,9,0.9900990099009901,414,0.22002200220022,0.9900990099009901,0.9900990099009901
canary,4834,13,0.26892842366570124,649,0.08274720728175423,0.26892842366570124,0.26892842366570124
lakshadweep,28,2,7.142857142857142,8,7.142857142857142,7.142857142857142,7.142857142857142
