time,latitude,longitude,degree_heating_week
UTC,degrees_north,degrees_east,degree_Celsius_weeks
1996-09-27T12:00:00Z,27.825,-15.525,NaN
1996-09-27T12:00:00Z,27.825,-15.475,NaN
1996-09-27T12:00:00Z,27.825,-15.425,0.0
1996-09-27T12:00:00Z,27.825,-15.375,0.0
1996-10-27T12:00:00Z,28.175,-15.625,0.0
1996-10-27T12:00:00Z,28.175,-15.575,0.0
1996-10-27T12:00:00Z,28.175,-15.525,0.0
1996-10-27T12:00:00Z,28.175,-15.475,0.0
1996-10-27T12:00:00Z,28.175,-15.425,0.0
1996-10-27T12:00:00Z,28.175,-15.375,0.0
1996-10-27T12:00:00Z,28.125,-15.625,0.0
1996-10-27T12:00:00Z,28.125,-15.575,0.0
1996-10-27T12:00:00Z,28.125,-15.525,0.0
1996-10-27T12:00:00Z,28.125,-15.475,0.0
1996-10-27T12:00:00Z,28.125,-15.425,0.0
