time,latitude,longitude,degree_heating_week
UTC,degrees_north,degrees_east,degree_Celsius_weeks
1996-03-01T12:00:00Z,-17.325,178.425,0.9
1996-03-01T12:00:00Z,-17.325,178.475,0.75
1996-03-01T12:00:00Z,-17.325,178.525,0.74
1996-03-01T12:00:00Z,-17.325,178.575,0.87
1996-03-01T12:00:00Z,-17.325,178.625,0.72
1996-03-01T12:00:00Z,-17.375,178.375,0.76
1996-03-01T12:00:00Z,-17.375,178.425,0.76
1996-03-01T12:00:00Z,-17.375,178.475,0.76
1996-03-01T12:00:00Z,-17.375,178.525,0.75
1996-03-01T12:00:00Z,-17.375,178.575,0.73
1996-03-01T12:00:00Z,-17.375,178.625,0.72
1996-03-01T12:00:00Z,-17.425,178.375,0.75
1996-03-01T12:00:00Z,-17.425,178.425,0.75
1996-03-01T12:00:00Z,-17.425,178.475,0.75
1996-03-01T12:00:00Z,-17.425,178.525,0.74
1996-03-01T12:00:00Z,-17.425,178.575,0.73
1996-03-01T12:00:00Z,-17.425,178.625,0.73
1996-03-01T12:00:00Z,-17.475,178.375,0.73
1996-03-01T12:00:00Z,-17.475,178.425,0.74
1996-03-01T12:00:00Z,-17.475,178.475,0.74
1996-03-01T12:00:00Z,-17.475,178.525,0.73
1996-03-01T12:00:00Z,-17.475,178.575,0.73
1996-03-01T12:00:00Z,-17.475,178.625,0.73
1996-03-01T12:00:00Z,-17.525,178.375,0.72
1996-03-01T12:00:00Z,-17.525,178.425,0.72
1996-03-01T12:00:00Z,-17.525,178.475,0.72
1996-03-01T12:00:00Z,-17.525,178.525,0.73
1996-03-01T12:00:00Z,-17.525,178.575,0.73
1996-03-01T12:00:00Z,-17.525,178.625,0.87
1996-03-01T12:00:00Z,-17.575,178.375,0.71
1996-03-01T12:00:00Z,-17.575,178.425,0.7000000000000001
1996-03-01T12:00:00Z,-17.575,178.475,0.71
1996-03-01T12:00:00Z,-17.575,178.525,0.71
1996-03-01T12:00:00Z,-17.575,178.575,0.86
1996-03-01T12:00:00Z,-17.575,178.625,0.86
1996-03-01T12:00:00Z,-17.625,178.375,NaN
1996-03-01T12:00:00Z,-17.625,178.425,NaN
1996-03-01T12:00:00Z,-17.625,178.475,NaN
1996-03-01T12:00:00Z,-17.625,178.525,0.84
