name,place,lon,lat,elevation_m,at_risk
Unnamed settlement,islet,72.9276355,5.5647764,0.0,True
Unnamed settlement,islet,72.6454586,6.4090228,0.0,True
Madulu,islet,72.9529798,7.0549107,0.0,True
Gemendhoo,islet,73.0198392,5.2755575,0.0,True
Kothaifaru,islet,72.8440477,5.5248935,0.0,True
Maamin'gili,islet,72.8840462,5.6509931,0.0,True
މާއުނގޫދޫ,islet,73.2837212,6.0367041,0.0,True
Unnamed settlement,islet,73.2275207,5.7964168,0.0,True
މާކޯ,islet,73.4303485,5.3576407,0.0,True
ވަށަފަރު,islet,73.1590744,6.8986567,0.0,True
ފޮއްދޫ,islet,73.2160861,5.7437828,0.0,True
Kunfunadhoo,islet,73.078018,5.112621,0.0,True
Kukulhudhoo,islet,72.8711629,5.4591663,0.0,True
Hondaafushi,islet,73.1226724,6.7795067,0.0,True
އޮޅުވެލިފުށި,islet,73.606802,5.2783646,0.0,True
Fenfushi,islet,72.9018081,5.3824141,0.0,True
އުތީމު,island,73.1123677,6.8348961,0.0,True
Unnamed settlement,islet,73.1109264,5.9813674,0.0,True
Unnamed settlement,islet,73.3190309,5.8150818,0.0,True
Maakandoodhoo,island,73.2674323,6.2349489,0.0,True
Randheli,islet,73.3406006,5.6918654,0.0,True
ވައިކަރަދޫ,island,72.9530456,6.5499183,0.0,True
މިލަދޫ,islet,73.3628078,5.7905706,0.0,True
ލަންދޫ,islet,73.4665408,5.8816351,0.0,True
ކޮމަންޑޫ,islet,73.0538547,6.0539812,0.0,True
Gaamathikulhudhoo,islet,72.984352,7.0387702,0.0,True
Unnamed settlement,islet,72.8611883,5.5883221,0.0,True
ދޮންފަނު,islet,73.1230481,5.1881094,0.0,True
ގޮއިދޫ,islet,72.9297805,6.4300698,0.0,True
ފޯކައިދޫ,islet,73.149106,6.326764,0.0,True
Velifinolhu,islet,72.874384,6.9939914,0.0,True
މުރައިދޫ,islet,73.1671703,6.8377833,0.0,True
Unnamed settlement,islet,72.9069378,5.5806756,0.0,True
Unnamed settlement,islet,73.30724,5.9499021,0.0,True
Huruvalhi,islet,72.978943,5.3920188,0.0,True
މާފިލާފުށި,islet,73.4177554,5.3630035,0.0,True
Unnamed settlement,islet,73.3262493,5.8149271,0.0,True
Maakurandhoo,islet,73.3118973,5.6965895,0.0,True
Aidhoo,islet,73.1634063,5.1872599,0.0,True
މަރޮށި,islet,73.0615191,6.2097446,0.0,True
Gaaun'dhoodhoo,islet,73.0155956,5.7494153,0.0,True
ޅޮހި,islet,73.4728376,5.3215715,0.0,True
Hanifaru,islet,73.1329984,5.1826227,0.0,True
Unnamed settlement,islet,73.0461839,6.0572338,0.0,True
Kudakurathu,islet,73.0443851,5.5834821,0.0,True
