name,place,lon,lat,elevation_m,at_risk
Plaza de la Constitución,square,-15.5247783,28.1190596,261.0,False
Plaza Patrona de Canarias,square,-16.3699042,28.3517563,8.0,False
Plaza San Ramón,square,-16.2910472,28.5617453,576.0,False
Mercado Municipal,square,-16.5531455,28.4096788,56.0,False
Plaza Triana,square,-16.8529616,28.3710389,110.0,False
Caldera de Pedro Gil,locality,-16.467857,28.3429747,1576.0,False
Plaza de Pedro Domínguez,square,-16.6297704,28.3861797,430.0,False
Unnamed settlement,square,-17.9561747,27.7715654,1051.0,False
Plaza de Teresa Bolívar,square,-15.5469365,28.0596429,598.0,False
Plaza Nuestra Señora de la Nieves,square,-16.2170142,28.5609125,161.0,False
La Lajita,village,-14.151955,28.1834046,11.0,False
Pozo Negro,hamlet,-13.8963013,28.3238965,6.0,False
Salinas del Carmen,hamlet,-13.8729959,28.3646246,13.0,False
Caleta de Fuste,village,-13.8602305,28.3983006,12.0,False
Cardón,hamlet,-14.140418,28.261632,195.0,False
Las Hermosas,hamlet,-14.1936115,28.2273992,120.0,False
Plaza Hilario Trujillo,square,-16.4228829,28.194641,11.0,False
Plaza Gabriel Cruz,square,-16.33476,28.4423423,595.0,False
Plaza Europa,square,-16.2482361,28.4638274,8.0,False
Plaza 3 de Abril,square,-16.5534025,28.4158904,12.0,False
Plaza de Santo Domingo,square,-17.7663682,28.6825903,35.0,False
Plaza del Doctor Olivera,square,-16.3204098,28.4901969,563.0,False
Plaza Miguel Velázquez,square,-16.2549689,28.4589497,28.0,False
Plaza General Gutiérrez Mellado,square,-16.2498151,28.4611483,11.0,False
Plaza 7 Islas,square,-16.3162875,28.4415587,405.0,False
Plaza del Patriotismo,square,-16.2505343,28.4689713,42.0,False
Unnamed settlement,square,-16.2488274,28.474167,39.0,False
Plaza Fray Albino,square,-16.316435,28.4889634,560.0,False
Degollada de Aguasabina,locality,-15.8177442,27.9288773,551.0,False
Huevos del Teide,locality,-16.6116736,28.2740368,2599.0,False
plaza de la paz,square,-17.9557298,28.7116892,655.0,False
Plaza de Taborno,square,-16.2644918,28.5572252,614.0,False
Huelgues,locality,-16.3956741,28.425311,1311.0,False
Plaza del Radioaficionado Manuel Dávila Santana,square,-16.3730638,28.2957506,8.0,False
"Palm-Mar, Arona",village,-16.6979932,28.0245654,35.0,False
Plaza Benítez de Lugo,square,-16.4802877,28.1783212,362.0,False
Plaza de Arico el Nuevo,square,-16.4802981,28.1781214,360.0,False
Plaza Antonia Redondo Camareño,square,-16.4332097,28.1643876,11.0,False
Llanitos,square,-16.4947623,28.180761,535.0,False
Plaza Nuestra Señora de Fátima,square,-16.4338524,28.1645217,15.0,False
Plaza Carlos Delgado Díaz,square,-16.4780702,28.1822058,371.0,False
Unnamed settlement,square,-16.4970177,28.1808998,555.0,False
Plaza del Calvario,square,-16.8195669,28.3665318,101.0,False
Plaza Poeta Luís Feria,square,-16.2561361,28.4616845,37.0,False
Unnamed settlement,square,-16.2543042,28.5245822,585.0,False
Plaza de Cheo,square,-16.3684833,28.35824,11.0,False
Plaza Domingo Cubas Padilla,square,-16.2972834,28.4398224,283.0,False
Plaza de los Batanes,square,-16.2959007,28.5481385,464.0,False
Plaza del Ayuntamiento,square,-16.3672999,28.4512424,914.0,False
Las Leñas Blancas,locality,-16.7616821,28.1679058,484.0,False
Chacoroche,locality,-16.7567276,28.169467,563.0,False
Los Cabrines,locality,-16.7541983,28.1715828,621.0,False
El Tagorito,locality,-16.7505552,28.1701667,687.0,False
Escaño,locality,-16.7622759,28.1655609,442.0,False
Hoya la Pasada,locality,-16.7439144,28.1730521,819.0,False
La Suertita,locality,-16.7483195,28.1732691,751.0,False
Unnamed settlement,square,-16.359388,28.5320933,213.0,False
Plaza de los Guanartemes,square,-15.6565161,28.1450498,126.0,False
Plaza Rafaela Manrique de Lara,square,-15.4149572,27.9962968,150.0,False
Tara,suburb,-15.4251026,28.0014544,152.0,False
Plaza Nuestra Señora de la Candelaria,square,-15.4248509,28.0028142,165.0,False
Plaza Nuestra Señora de la Merced,square,-16.3052409,28.4358001,274.0,False
Unnamed settlement,square,-16.3097524,28.437097,326.0,False
Unnamed settlement,square,-16.3013409,28.4405304,272.0,False
Unnamed settlement,square,-16.3073941,28.4388432,316.0,False
Unnamed settlement,square,-16.3053399,28.4497878,363.0,False
Unnamed settlement,square,-16.3042746,28.4453749,336.0,False
Los Azulejos,locality,-15.7336278,27.9233509,837.0,False
Unnamed settlement,square,-16.3230351,28.4400821,446.0,False
Plaza Arquitecto Enrique Rumeu de Armas,square,-16.2601996,28.4707832,74.0,False
