name,place,lon,lat,elevation_m,at_risk
Cikobia,island,-179.9360642,-15.7341274,0.0,True
Korolevu Island,islet,8.37e-05,-16.7694429,0.0,True
Naisoso Island,islet,177.4298402,-17.741644,6.0,False
Vedralalevu,island,178.7088222,-16.6057909,0.0,True
Naviti Island,island,177.2424378,-17.11639,222.0,False
Unnamed settlement,islet,179.8353669,-18.5870635,0.0,True
Rabi,island,0.0296491,-16.4895838,0.0,True
Jiliva,islet,176.9323394,-17.1150787,5.0,False
Laucala Island,island,-179.6834464,-16.7622862,0.0,True
Ceva-i-Ra,island,174.6318742,-21.7347795,0.0,True
Monuriki,island,177.0347359,-17.6094027,125.0,False
Unnamed settlement,islet,-178.4155732,-18.003736,0.0,True
Unnamed settlement,islet,-178.4487922,-18.0118425,0.0,True
Unnamed settlement,islet,-178.806054,-17.6993959,0.0,True
Unnamed settlement,islet,-178.6552531,-17.73429,0.0,True
Cicia Island,island,-179.312878,-17.7495052,0.0,True
Unnamed settlement,islet,-178.8321777,-17.7609823,0.0,True
Unnamed settlement,islet,-178.2859651,-17.9294835,0.0,True
Unnamed settlement,islet,-178.3063352,-17.8854977,0.0,True
Unnamed settlement,islet,-179.0305427,-17.9948816,0.0,True
Qamea,island,-179.7537219,-16.7709885,0.0,True
Unnamed settlement,islet,-178.6491465,-18.6818211,0.0,True
Micah Island,islet,-179.0911054,-18.7233228,0.0,True
Karoni,islet,-178.4779091,-18.7017513,0.0,True
Unnamed settlement,islet,-178.4435338,-18.4302373,0.0,True
Unnamed settlement,islet,-179.4079061,-15.9525084,0.0,True
Vuaqava Island,island,-178.9011392,-18.8660054,0.0,True
Unnamed settlement,islet,-178.9204309,-18.8848707,0.0,True
Unnamed settlement,islet,-178.9225419,-18.8847125,0.0,True
Nukumbalati Island,islet,-179.2692697,-16.3106051,0.0,True
Nukumbasanga Island,islet,-179.2530269,-16.3024022,0.0,True
Unnamed settlement,islet,-179.4178322,-16.3345231,0.0,True
Unnamed settlement,islet,-179.869453,-16.6825908,0.0,True
Viubani Island,islet,-179.8552425,-16.7003196,0.0,True
Unnamed settlement,islet,-179.449864,-16.7098078,0.0,True
Matagi,islet,-179.7437843,-16.7304075,0.0,True
Nanuku Island,islet,-179.4539904,-16.7192932,0.0,True
Marabo island,island,-178.8278934,-18.9878191,0.0,True
Unnamed settlement,islet,-178.457746,-18.9491588,0.0,True
Navutu-I-Loma Island,island,-178.4846083,-18.9665893,0.0,True
Unnamed settlement,island,-179.0409306,-17.1672009,0.0,True
Unnamed settlement,islet,-179.0213897,-17.0592133,0.0,True
Unnamed settlement,islet,-178.8136257,-17.1598924,0.0,True
Unnamed settlement,islet,-178.8162001,-17.1608655,0.0,True
Unnamed settlement,islet,-178.8278613,-17.1622921,0.0,True
Unnamed settlement,islet,-178.9434364,-16.8433056,0.0,True
Unnamed settlement,islet,-179.5272398,-17.2426194,0.0,True
Unnamed settlement,islet,-179.5339891,-17.2422641,0.0,True
Unnamed settlement,islet,-179.5271851,-17.2411493,0.0,True
Unnamed settlement,island,-179.0073466,-17.2000853,0.0,True
Avea Island,island,-178.9029168,-17.1870016,0.0,True
Unnamed settlement,islet,-178.4189294,-19.1959371,0.0,True
Unnamed settlement,islet,-178.4251327,-19.1954037,0.0,True
Cikobia-i-Lau,island,-178.7874671,-17.281348,0.0,True
Unnamed settlement,islet,-179.648649,-17.285514,0.0,True
Unnamed settlement,islet,-179.6159462,-17.2764786,0.0,True
Unnamed settlement,islet,-179.6325652,-17.2798107,0.0,True
Unnamed settlement,islet,-178.6857195,-20.6062337,0.0,True
Unnamed settlement,islet,-179.5008296,-17.2512363,0.0,True
Unnamed settlement,islet,-179.531615,-17.2427353,0.0,True
Unnamed settlement,islet,-179.49919,-17.2456377,0.0,True
Unnamed settlement,islet,-179.5373072,-17.2450915,0.0,True
Unnamed settlement,islet,-178.8136765,-17.5608603,0.0,True
Mago Island,island,-179.1583008,-17.447138,0.0,True
Edward Island,island,-179.1805786,-17.4704787,0.0,True
Vatu Vara,island,-179.5296914,-17.429586,0.0,True
Munia Island,island,-178.8804875,-17.3650783,0.0,True
Tivua Island,islet,177.3470168,-17.6140877,4.0,False
Unnamed settlement,islet,179.7884783,-19.1756477,0.0,True
Unnamed settlement,island,179.5508261,-16.766515,0.0,True
Yanuca Lailai,island,178.7808314,-17.7526269,0.0,True
Kamba Island,islet,177.4083786,-18.1368237,15.0,False
Unnamed settlement,islet,177.289463,-17.1045346,19.0,False
Unnamed settlement,islet,179.4373123,-16.8146742,18.0,False
Matanuku Island,island,178.1040343,-19.1680165,0.0,True
Tavua Island,island,177.0915587,-17.616697,99.0,False
Leleuvia,islet,178.7216998,-17.8082332,13.0,False
Unnamed settlement,islet,178.5823782,-17.636272,5.0,False
Varokavani,island,176.8889947,-17.1524589,0.0,True
Wakaya Island,island,179.0032926,-17.6219156,0.0,True
Unnamed settlement,islet,178.94973,-17.4244713,0.0,True
Unnamed settlement,islet,178.2531933,-19.0228006,0.0,True
Unnamed settlement,islet,178.5693118,-18.0772442,5.0,False
Unnamed settlement,islet,179.0810848,-16.4147536,20.0,False
Unnamed settlement,islet,178.560916,-18.0833852,4.0,False
Druadrua Island,island,179.6131398,-16.1969521,0.0,True
Unnamed settlement,islet,179.8356013,-16.1992836,0.0,True
Kioa,island,179.9088827,-16.6429795,95.0,False
Mociu Island,islet,177.1478168,-17.7181971,23.0,False
Drawaqa Island,island,177.1919032,-17.1719584,75.0,False
Unnamed settlement,islet,179.9012861,-16.7561045,24.0,False
Nukuvatu,islet,176.8798889,-17.1960499,0.0,True
Laucala Island,island,178.5187409,-18.141962,5.0,False
Unnamed settlement,islet,179.9170745,-16.6696986,25.0,False
Kubulau Island,islet,177.3555136,-16.9793685,20.0,False
Ono Island,island,178.4866557,-18.9021726,190.0,False
Matacawa Levu,island,177.342293,-16.96075,9.0,False
Unnamed settlement,islet,178.3351718,-18.1492338,10.0,False
Makongai,island,178.9644137,-17.447681,0.0,True
Unnamed settlement,island,177.0582195,-17.5936107,41.0,False
Hofliua,island,176.9357469,-12.4970326,0.0,True
Nanuya-i-Yata,islet,177.5924083,-16.666695,12.0,False
Unnamed settlement,islet,179.7788599,-16.1881543,8.0,False
Nanuya Island,island,177.3736556,-16.9564271,0.0,True
Uea,island,176.9911316,-12.4656139,0.0,True
Unnamed settlement,islet,178.8891556,-16.5711778,5.0,False
Unnamed settlement,islet,179.5758924,-16.1904302,10.0,False
Unnamed settlement,island,178.5528999,-18.1272388,13.0,False
Yalewa Kalou,island,177.7550723,-16.6616889,64.0,False
Mathuata-i-Wai Island,island,179.0637062,-16.4265433,123.0,False
Nananu i Ra,island,178.2130435,-17.2929746,0.0,True
Unnamed settlement,island,177.4336727,-17.6051741,3.0,False
Unnamed settlement,islet,179.3534803,-16.8129141,0.0,True
Mambualau,islet,178.7564344,-17.9732513,11.0,False
Unnamed settlement,islet,179.7410857,-19.1467341,0.0,True
Bau,islet,178.6153711,-17.9722782,11.0,False
Unnamed settlement,islet,179.0995646,-16.2246383,0.0,True
Ndelainamara,islet,178.4965072,-18.78851,19.0,False
Unnamed settlement,islet,178.1523811,-18.3909158,8.0,False
Bird Island,islet,178.0005951,-18.3457911,0.0,True
Nacula Island,island,177.414372,-16.892869,16.0,False
Malake Island,island,178.142722,-17.3205753,18.0,False
Yanuca,island,177.9940354,-18.3804208,45.0,False
Yaqeta,island,177.3288229,-17.0108505,1.0,True
Mabua,islet,178.2397984,-17.3302555,0.0,True
Caqalai Island,islet,178.7305205,-17.7880457,15.0,False
Unnamed settlement,islet,177.9241593,-18.2756745,6.0,False
Unnamed settlement,islet,179.8410512,-16.2211854,15.0,False
Makuluva,islet,178.5183611,-18.1879079,7.0,False
Malolo Lailai Island,island,177.1960429,-17.7735433,7.0,False
Mana Island,island,177.1059394,-17.6760985,0.0,True
Naqara Island,island,178.2689036,-18.1777633,22.0,False
Nukulau,islet,178.5158587,-18.1737591,11.0,False
Yaukuvelevu,island,178.5276712,-18.8017951,38.0,False
Nananu-i-Cake,island,178.2295446,-17.3183381,11.0,False
Nairai,island,179.4158946,-17.8109092,309.0,False
Yambu,island,178.501572,-18.8460921,29.0,False
Buliya,island,178.5325466,-18.8389176,113.0,False
Snake Island,islet,178.3961209,-18.1119668,29.0,False
Tavarua Island,islet,177.2023674,-17.8576915,8.0,False
Mosquito Island,islet,178.3972956,-18.1144112,10.0,False
Nanuya-i-Ra,islet,177.5721175,-16.6548369,24.0,False
Galoa Island,island,178.1863146,-19.0782691,0.0,True
Vawa Island,islet,177.4547553,-16.7981732,13.0,False
Yanuca Levu,island,178.7765687,-17.763708,20.0,False
Malolo Island,island,177.1689073,-17.7494851,135.0,False
Tavewa,island,177.3593555,-16.9254752,59.0,False
Unnamed settlement,island,178.684882,-16.6176642,22.0,False
Yadua Taba,island,178.2782969,-16.8336098,88.0,False
Unnamed settlement,islet,178.7273361,-16.6251716,5.0,False
Akuilau Island,islet,177.3626064,-17.7598528,6.0,False
Unnamed settlement,islet,179.3293364,-16.3562219,0.0,True
Unnamed settlement,islet,179.0994048,-16.230383,0.0,True
Steward Island,islet,178.073797,-18.4336271,23.0,False
Unnamed settlement,islet,179.1043835,-16.2289341,0.0,True
Vanuakula,island,178.5067261,-18.7365448,60.0,False
Unnamed settlement,islet,178.3974988,-19.0512799,0.0,True
Unnamed settlement,islet,178.1533939,-18.4081474,66.0,False
Yasawa Island,island,177.5144705,-16.7702536,0.0,True
Yadua,island,178.2993937,-16.8137779,102.0,False
Dravuni,island,178.5218658,-18.7622851,37.0,False
Kia Island,island,179.0945375,-16.2300236,58.0,False
Robinson Crusoe Island,islet,177.2871933,-18.0559396,8.0,False
Yaqaga Island,island,178.5927937,-16.5893383,44.0,False
Nukuira Island,island,178.7156672,-16.5622799,0.0,True
